sector_key,sector_name,industry_key,industry_name,symbol,market_weight
technology,Technology,semiconductors,Semiconductors,^YH31130020,0.40322134
technology,Technology,software-infrastructure,Software - Infrastructure,^YH31110030,0.17837721
technology,Technology,consumer-electronics,Consumer Electronics,^YH31120030,0.15895277
technology,Technology,software-application,Software - Application,^YH31110020,0.059879467
technology,Technology,semiconductor-equipment-materials,Semiconductor Equipment & Materials,^YH31130010,0.055133227
technology,Technology,computer-hardware,Computer Hardware,^YH31120020,0.0503067
technology,Technology,communication-equipment,Communication Equipment,^YH31120010,0.032043383
technology,Technology,electronic-components,Electronic Components,^YH31120040,0.025340073
technology,Technology,information-technology-services,Information Technology Services,^YH31110010,0.02110887
technology,Technology,scientific-technical-instruments,Scientific & Technical Instruments,^YH31120060,0.011506849
technology,Technology,solar,Solar,^YH31130030,0.0023384125
technology,Technology,electronics-computer-distribution,Electronics & Computer Distribution,^YH31120050,0.0017917164
financial-services,Financial Services,banks-diversified,Banks - Diversified,^YH10320010,0.24735674
financial-services,Financial Services,credit-services,Credit Services,^YH10360010,0.13691288
financial-services,Financial Services,asset-management,Asset Management,^YH10310010,0.12654114
financial-services,Financial Services,capital-markets,Capital Markets,^YH10330010,0.119846925
financial-services,Financial Services,insurance-diversified,Insurance - Diversified,^YH10340060,0.1054873
financial-services,Financial Services,banks-regional,Banks - Regional,^YH10320020,0.10065997
financial-services,Financial Services,insurance-property-casualty,Insurance - Property & Casualty,^YH10340020,0.05138572
financial-services,Financial Services,financial-data-stock-exchanges,Financial Data & Stock Exchanges,^YH10330020,0.046596408
financial-services,Financial Services,insurance-life,Insurance - Life,^YH10340010,0.024880102
financial-services,Financial Services,insurance-brokers,Insurance Brokers,^YH10340050,0.02363355
financial-services,Financial Services,insurance-specialty,Insurance - Specialty,^YH10340040,0.005859383
financial-services,Financial Services,mortgage-finance,Mortgage Finance,^YH10320030,0.004269181
financial-services,Financial Services,insurance-reinsurance,Insurance - Reinsurance,^YH10340030,0.0040383935
